Region Name,Year,Month,Mean Max Temp,Mean Min Temp,Mean Temp,Total Rain,Total Snow,Total Precip,Tourism PC,Lightning Perc,Fire Area,Fire Area Perc
Alberni-Clayquot,2001,4,11.17,3.5,7.366666666666666,286.4,0.0,286.4,55.55555555555556,0.0,0.009,1.3658817905192627e-06
Alberni-Clayquot,2001,7,17.567741935483873,9.451612903225806,13.538709677419355,23.4,0.0,23.4,139.01543912933434,0.0,0.3,4.552939301730875e-05
Alberni-Clayquot,2002,7,19.061290322580643,10.45483870967742,14.77741935483871,53.4,0.0,53.4,158.2029375059998,0.0,2.4090000000000003,0.00036560102592898933
Alberni-Clayquot,2002,9,17.423333333333336,8.93,13.21,137.3,0.0,137.3,125.62797990464306,0.5,15.01,0.002277987297299348
Alberni-Clayquot,2003,5,13.76774193548387,6.264516129032257,10.04516129032258,155.6,0.0,155.6,82.41951469036734,0.0,0.30000000000000004,4.5529393017308765e-05
Alberni-Clayquot,2003,6,18.790000000000003,9.233333333333333,14.03,54.0,0.0,54.0,116.14821445698392,0.0,0.559,8.483643565558532e-05
Alberni-Clayquot,2003,8,19.05161290322581,10.851612903225806,14.98064516129032,26.8,0.0,26.8,214.64880590811723,0.3333333333333333,0.318,4.826115659834729e-05
Alberni-Clayquot,2003,9,18.41,9.766666666666667,14.1,166.0,0.0,166.0,135.4902650340484,0.0,0.11,1.6694110773013212e-05
Alberni-Clayquot,2004,4,14.46,4.42,9.46,68.8,0.0,68.8,76.37223873917074,0.0,2.009,0.0003048951685725776
Alberni-Clayquot,2004,7,20.661290322580644,12.058064516129033,16.383870967741935,56.4,0.0,56.4,207.44221732041814,0.0,0.318,4.826115659834729e-05
Alberni-Clayquot,2004,8,20.161290322580644,12.570967741935483,16.387096774193548,148.6,0.0,148.6,246.60336945749816,0.5,0.30000000000000004,4.5529393017308765e-05
Alberni-Clayquot,2005,4,12.15,4.886666666666667,8.543333333333333,465.7,0.0,465.7,71.28354799822347,0.0,0.2,3.035292867820584e-05
Alberni-Clayquot,2005,5,16.15806451612903,9.0,12.606451612903228,180.4,0.0,180.4,104.33982615316287,0.0,0.009,1.3658817905192627e-06
Alberni-Clayquot,2005,6,17.55,9.833333333333334,13.71,55.6,0.0,55.6,134.47750777234947,0.0,0.009,1.3658817905192627e-06
Alberni-Clayquot,2005,7,18.958064516129035,11.396774193548389,15.203225806451613,228.6,0.0,228.6,232.69462597550918,0.0,0.11800000000000001,1.7908227920141445e-05
Alberni-Clayquot,2005,8,19.04516129032258,11.441935483870967,15.26774193548387,76.4,0.0,76.4,262.57851659158683,0.0,0.08600000000000001,1.305175933162851e-05
Alberni-Clayquot,2005,9,17.19333333333333,9.033333333333331,13.133333333333333,179.1,0.0,179.1,158.1435188122581,0.0,0.609,9.242466782513677e-05
Alberni-Clayquot,2006,5,15.341935483870968,6.996774193548387,11.196774193548388,77.1,0.0,77.1,108.8979954890562,0.0,2.04,0.00030959987251769956
Alberni-Clayquot,2006,7,19.39032258064516,11.319354838709677,15.380645161290325,46.6,0.0,46.6,245.59229962832364,0.0,0.101,1.532822898249395e-05
Alberni-Clayquot,2006,8,18.677419354838708,9.770967741935484,14.25161290322581,5.599999999999999,0.0,5.599999999999999,271.4508084754916,0.0,0.368,5.584938876789874e-05
Alberni-Clayquot,2007,5,14.051612903225807,5.732258064516128,9.919354838709678,115.0,0.0,115.0,123.35348393254851,0.0,0.1,1.517646433910292e-05
Alberni-Clayquot,2007,6,15.103333333333332,9.02,12.083333333333334,148.4,0.0,148.4,166.40152720330894,0.0,0.301,4.568115766069979e-05
Alberni-Clayquot,2007,7,19.280645161290323,12.312903225806451,15.82258064516129,101.0,0.0,101.0,275.8192809417754,0.3333333333333333,0.028999999999999998,4.401174658339846e-06
Alberni-Clayquot,2008,4,9.68,2.06,5.9,116.6,0.4,117.0,79.9695836765731,0.0,35.0,0.0053117625186860215
Alberni-Clayquot,2008,6,14.88,8.34,11.626666666666669,74.0,0.0,74.0,167.35314618845447,0.0,0.009999999999999998,1.5176464339102916e-06
Alberni-Clayquot,2008,7,16.78125,9.8625,13.3375,76.2,0.0,76.2,268.1389012103162,0.0,0.138,2.094352078796203e-05
Alberni-Clayquot,2008,8,17.947619047619046,11.276190476190475,14.638095238095238,208.9,0.0,208.9,294.02445979342247,0.0,0.018,2.7317635810385254e-06
Alberni-Clayquot,2008,9,18.053333333333335,9.9,13.993333333333334,39.8,0.0,39.8,182.3078385400165,0.0,2.4,0.00036423514413847
Alberni-Clayquot,2009,4,10.746153846153844,3.430769230769231,7.107692307692307,127.0,4.4,131.4,83.97741253667309,0.0,1.75,0.0002655881259343011
Alberni-Clayquot,2009,6,18.525,10.14,14.355,51.0,0.0,51.0,151.26660147007792,0.0,0.009,1.3658817905192627e-06
Alberni-Clayquot,2009,7,19.289473684210527,11.305263157894736,15.326315789473684,32.6,0.0,32.6,252.0584245559797,0.0,0.318,4.826115659834729e-05
Alberni-Clayquot,2009,8,18.230434782608697,11.643478260869566,14.965217391304348,63.20000000000001,0.0,63.20000000000001,294.5834253446481,0.3333333333333333,0.019,2.8835282244295544e-06
